ORD. GROUP,Entry Month,Sales Office,DATE OF CREATION (mm/dd/yyyy),Order Category,INDENT / ORD PRO. ID,SAP Entry ,CUSTOMER,SO NO (FAK),YGSP SO NO,SO item No.,MODEL CODE,QTY,SO BASIC VALUE,CDD (mm/dd/yyyy),BASE MODEL,CAP. MOD,WET. Part,CAP. CATG,B/O O R,SEAL Reqt.,SEAL Vendor,M+TT,TRADING FOB,PAYMENT TYPE,INSPN,CDD WEEK,LD Clause,MC DATE (mm/dd/yyyy),Matl Req DATE (mm/dd/yyyy),.,Billing Month,Part. del. Accept,BASE,Protocol,CAP. Mod,Wet. Part,P-Connect,C-Bolt,Install.,Amp-Hous.,Ele.,IND,Mount,OPTIONS,Tokuchu,"LM Tokuchu 
(Yes / No) ",Parts Avail. Date  (mm/dd/yyyy),LM Readiness Date,MFG Status,"SCH. Date
(mm/dd/yyyy)",FG date   (mm/dd/yyyy),FG Material Status,DESP Date,DESP Month,Remarks,END USER,END USER CODE,Seal Rediness Date,Seal MC Remarks,Consolidate,RON / PL,TOKUCHU No.,Nov-21,OPD,PPMG Plan,,
PPMG,Mar-21,Baroda,3/31/2021,BL,33158,YES,BOSCH REXROTH (INDIA) PRIVATE  LIMI,MBA21Y0012,2007261667,60,EJA110E-JVS4G-712ED/D4/C1/CA,3," 191,625.30 ",9/3/2021,EJA110E,V,S,Std,,N,-,M,---,CREDIT,,36,N,,,,12/31/2021,,EJA110E,J,V,S,4,G,7,1,2,E,D,/D4/C1/CA,-,,4/28/2021,4/30/2021,MC awtd,,,,,,,BOSCH REXROTH (INDIA) PRIVATE  LIMI,200255719,,,,Vidish Sharma K,,12/31/2021,Dec-21,12/1/2021,12/1/2021,
PPMG,May-21,Baroda,5/20/2021,Toh-Toh,34776,YES,BOSCH REXROTH (INDIA) PRIVATE  LIMI,MBD21Y0445,2007442841,10,EJA110E-JHS4G-712ED/D4/C1/CA,1," 58,325.00 ",1/1/2022,EJA110E,H,S,Std,,N,-,M,---,CREDIT,,1,N,,,,12/31/2021,,EJA110E,J,H,S,4,G,7,1,2,E,D,/D4/C1/CA,-,,6/16/2021,6/18/2021,MC awtd,,,,,,,BOSCH REXROTH (INDIA) PRIVATE  LIMITED,200255719,,,,Vidish Sharma K,,12/31/2021,Dec-21,12/22/2021,12/22/2021,
PPMG,May-21,Baroda,5/20/2021,Toh-Toh,34776,YES,BOSCH REXROTH (INDIA) PRIVATE  LIMI,MBD21Y0445,2007442841,"20, 30, 40, 50",EJA530E-JCS4N-012EL/D4/C1/CA,4," 164,299.20 ",1/1/2022,EJA530E,Z,S,Tokuchu,,N,-,M,---,CREDIT,,1,N,,,,12/31/2021,,EJA530E,J,Z,S,4,N,0,1,2,E,L,/D4/C1/CA (C - Capsule),Y,,6/16/2021,6/18/2021,MC awtd,,,,,,,BOSCH REXROTH (INDIA) PRIVATE  LIMITED,200255719,,,,Vidish Sharma K,,12/31/2021,Dec-21,12/22/2021,12/22/2021,
PPMG,May-21,Baroda,5/20/2021,Toh-Toh,34776,YES,BOSCH REXROTH (INDIA) PRIVATE  LIMI,MBD21Y0445,2007442841,60,EJA530E-JDS4N-012EL/D4/C1/CA,1," 44,075.40 ",1/1/2022,EJA530E,D,S,Std,,N,-,M,---,CREDIT,,1,N,,,,12/31/2021,,EJA530E,J,D,S,4,N,0,1,2,E,L,/D4/C1/CA,-,,6/16/2021,6/18/2021,MC awtd,,,,,,,BOSCH REXROTH (INDIA) PRIVATE  LIMITED,200255719,,,,Vidish Sharma K,,12/31/2021,Dec-21,12/22/2021,12/22/2021,
Discrete,Jun-21,Baroda,6/25/2021,Toh-Toh,35723,NO,GUJARAT FLUOROCHEMICALS LIMITED,FBE21M0659,2007453503,4010,EJA110E-JMSWG-912EN,1," 70,000.00 ",8/10/2021,EJA110E,M,S,Std,,Y,,M+T,,PI,,33,N,,,,12/31/2021,,EJA110E,J,M,S,W,G,9,1,2,E,N,,-,,7/21/2021,7/23/2021,Forecast,,,,,,,GUJARAT FLUOROCHEMICALS LIMITED,200256904,,,,Arun S Kakade,,1/0/1900,#N/A,#N/A,#N/A,
Discrete,Jun-21,Baroda,6/28/2021,Toh-Toh,36345,YES,ATUL LIMITED,MBF2100803,2007532124,10,EJA530E-JAS4N-012EL/KU22,4," 97,700.00 ",9/2/2021,EJA530E,A,S,Std,,N,-,M,---,CREDIT,,36,Y,,,,12/31/2021,,EJA530E,J,A,S,4,N,0,1,2,E,L,/KU22,-,,7/26/2021,7/28/2021,MC awtd,,,,,,,ATUL LIMITED,200256368,,,,Arun S Kakade,,11/30/2021,CF-Nov 21,#N/A,#N/A,
Discrete,Jun-21,Baroda,6/28/2021,Toh-Toh,36351,YES,GUJARAT FLUOROCHEMICALS LIMITED,MBF2100806,2007534753,10,EJA110E-JMS4J-912EB/KU22,1," 38,058.00 ",8/2/2021,EJA110E,M,S,Std,,N,-,M,---,PI,,32,N,,,,12/31/2021,,EJA110E,J,M,S,4,J,9,1,2,E,B,/KU22,-,,7/26/2021,7/28/2021,MC awtd,,,,,,,GUJARAT FLUOROCHEMICALS LIMITED,200256904,,,,Arun S Kakade,,11/30/2021,CF-Nov 21,#N/A,#N/A,
PPMG,Jul-21,Baroda,7/1/2021,Toh-Toh,35195,YES,GUJARAT AMBUJA EXPORTS LTD.,PBD21M0515,2007545605,10,EJA110E-JMS4J-912EB,28," 581,952.00 ",11/1/2021,EJA110E,M,S,Std,,N,-,M+T,10/19/2021,CREDIT,,45,N,,,,12/31/2021,,EJA110E,J,M,S,4,J,9,1,2,E,B,,-,,7/27/2021,7/29/2021,MC awtd,,,,,,,GUJARAT AMBUJA EXPORTS LTD.,200315777,,,,Vidish Sharma K,,12/31/2021,Dec-21,12/26/2021,12/26/2021,
PPMG,Jul-21,Baroda,7/1/2021,Toh-Toh,35195,YES,GUJARAT AMBUJA EXPORTS LTD.,PBD21M0515,2007545605,40,EJA110E-JMT4J-912EB,1," 25,552.00 ",11/1/2021,EJA110E,M,T,Exotic,,N,-,M+T,10/19/2021,CREDIT,,45,N,,,,12/31/2021,,EJA110E,J,M,T,4,J,9,1,2,E,B,,-,,7/27/2021,7/29/2021,MC awtd,,,,,,,GUJARAT AMBUJA EXPORTS LTD.,200315777,,,,Vidish Sharma K,,12/31/2021,Dec-21,12/26/2021,12/26/2021,
PPMG,Jul-21,Baroda,7/1/2021,Toh-Toh,35190,YES,GUJARAT AMBUJA EXPORTS LTD.,PBD21M0516,2007546228,10,EJA110E-JMS4J-912EB,17," 353,328.00 ",11/1/2021,EJA110E,M,S,Std,,N,-,M+T,10/19/2021,CREDIT,,45,N,,,,12/31/2021,,EJA110E,J,M,S,4,J,9,1,2,E,B,,-,,7/27/2021,7/29/2021,MC awtd,,,,,,,GUJARAT AMBUJA EXPORTS LTD.,200315777,,,,Vidish Sharma K,,12/31/2021,Dec-21,12/26/2021,12/26/2021,
