Plant,Plant Description,Storage Location,Storage Location Description,Material Number,MS Code,Material Description,Sales Document,Sales Document Item,Linkage Number,Stock Quantity,Unit,Serial Number,Stock Amount
2Q00,YIL,2002,Line-side Transm,F9913MZ,,PLUG,,0,,91,ST,,208.15
2Q00,YIL,2002,Line-side Transm,F9913MY,,PLUG,,0,,126,ST,,88.07
2Q00,YIL,2002,Line-side Transm,F9913MD,,CLAMP ASSY,,0,,126,ST,,26.94
2Q00,YIL,2002,Line-side Transm,F9900RH,,SCREW,,0,,70,ST,,7.28
2Q00,YIL,2002,Line-side Transm,F9341JW,,WASHER,,0,,948,ST,,1.46
2Q00,YIL,2002,Line-side Transm,F9341JS,,COVER,,0,,660,ST,,2.18
2Q00,YIL,2002,Line-side Transm,F9341JP,,O-RING,,0,,456,ST,,7.28
2Q00,YIL,2002,Line-side Transm,F9340XZ,,CONNECTOR,,0,,15,ST,,640.47
2Q00,YIL,2002,Line-side Transm,F9340XX,,CONNECTOR,,0,,5,ST,,438.87
2Q00,YIL,2002,Line-side Transm,F9340XU,,CONNECTOR(KIDNEY),,0,,3,ST,,570.60
2Q00,YIL,2002,Line-side Transm,F9340WX,,CONNECTOR,,0,,16,ST,,"2,846.48"
2Q00,YIL,2002,Line-side Transm,F9340TX,,CONNECTOR,,0,,6,ST,,"2,982.58"
2Q00,YIL,2002,Line-side Transm,F9340SD,,VENT PLUG,,0,,25,ST,,126.63
2Q00,YIL,2002,Line-side Transm,F9340SB,,VENT PLUG,,0,,297,ST,,133.91
2Q00,YIL,2002,Line-side Transm,F9340NJ,,LABEL,,0,,147,ST,,5.82
2Q00,YIL,2002,Line-side Transm,F9340ND,,LABEL,,0,,120,ST,,6.55
2Q00,YIL,2002,Line-side Transm,F9340GN,,O-RING,,0,,1,ST,,38.58
2Q00,YIL,2002,Line-side Transm,F9340EM,,BRACKET,,0,,6,ST,,441.78
2Q00,YIL,2002,Line-side Transm,F9340AZ,,BOLT (SUH660),,0,,22,ST,,463.62
2Q00,YIL,2002,Line-side Transm,F9311BG,,VENT PLUG,,0,,2,ST,,"1,581.55"
2Q00,YIL,2002,Line-side Transm,F9300TE,,BRACKET,,0,,97,ST,,360.26
2Q00,YIL,2002,Line-side Transm,F9300AF,,PLATE,,0,,721,ST,,0.73
2Q00,YIL,2002,Line-side Transm,F9275ZZ,,LABEL,,0,,93,ST,,7.28
2Q00,YIL,2002,Line-side Transm,F9275EG,,NEEDLE,,0,,54,ST,,134.64
2Q00,YIL,2002,Line-side Transm,F9275EF,,NUT,,0,,27,ST,,265.65
2Q00,YIL,2002,Line-side Transm,F9275ED,,VENT PLUG,,0,,29,ST,,288.95
2Q00,YIL,2002,Line-side Transm,F9273CZ,,BOLT,,0,,712,ST,,17.47
2Q00,YIL,2002,Line-side Transm,F9270HE,,VENT SCREW,,0,,35,ST,,63.32
2Q00,YIL,2002,Line-side Transm,F9270BK,,COLLAR,,0,,762,ST,,4.37
2Q00,YIL,2002,Line-side Transm,F9270BJ,,SHAFT,,0,,584,ST,,24.02
2Q00,YIL,2002,Line-side Transm,F9203ZA,,PLUG,,0,,51,ST,,1.46
2Q00,YIL,2002,Line-side Transm,D0117XL-A,,U-BOLT ASSY,,0,,141,ST,,55.31
2Q00,YIL,2002,Line-side Transm,D0114RZ,,PLUG,,0,,345,ST,,80.79
2Q00,YIL,2002,Line-side Transm,D0114RB,,GASKET,,0,,342,ST,,10.92
2Q00,YIL,2002,Line-side Transm,D0114PB,,VENT SCREW,,0,,322,ST,,48.76
2Q00,YIL,2002,Line-side Transm,A1462CC,,FEEDTHRU CAPACITOR(FTA5C2HD102PJZZ),,0,,"1,355",ST,,42.21
2Q00,YIL,2002,Line-side Transm,F9341JX,,SILICONE RUBBER?SE1811A/B LTV?,,0,,10,ST,,"6,213.36"
2Q00,YIL,2002,Line-side Transm,F9900RG,,TAPPING SCREW,,0,,"2,466",ST,,0.73
2Q00,YIL,2002,Line-side Transm,F9900RF,,TAG PLATE,,0,,442,ST,,13.10
2Q00,YIL,2002,Line-side Transm,F9900RE,,TAG PLATE,,0,,282,ST,,13.10
2Q00,YIL,2002,Line-side Transm,F9900MK,,LABEL,,0,,19,ST,,16.01
