Group,Entry Month,Sales Office,DATE OF CREATION (mm/dd/yyyy),Order Category,INDENT / ORD PRO. ID,SAP Entry ,CUSTOMER,SO NO (FAK),YGSP SO NO,SO item No.,MODEL CODE,QTY,SO BASIC VALUE,CDD (mm/dd/yyyy),BASE MODEL,CAP. MOD,WET. Part,CAP. CATG,B/O O R,SEAL Reqt.,SEAL Vendor,M+TT,TRADING FOB,PAYMENT TYPE,INSPN,CDD WEEK,LD Clause,MC DATE (mm/dd/yyyy),Matl Req DATE (mm/dd/yyyy),Txr Category,Billing Month,Part. del. Accept,BASE,Protocol,CAP. Mod,Wet. Part,P-Connect,C-Bolt,Install.,Amp-Hous.,Ele.,IND,Mount,OPTIONS,Tokuchu,"LM Tokuchu 
(Yes / No) ",Parts Avail. Date  (mm/dd/yyyy),LM Readiness Date,MFG Status,"SCH. Date
(mm/dd/yyyy)",FG date   (mm/dd/yyyy),FG Material Status,DESP Date,DESP Month,Remarks,END USER,END USER CODE,Seal Rediness Date,Seal MC Remarks,SO+ITEM,RON / PL,TOKUCHU No.
Discrete,Aug-22,Bangalore,08/28/2022,Toh-Toh,46658,YES,JSW VIJAYANAGAR METALLICS LIMITED,FLH22M0438,2008489048,230,EJA530E-JBS4N-012EL/HAC,13,"3,18,240.00",12/30/2022,EJA530E,B,S,Std,,N,,M+T,,CREDIT,,53,N,01-02-2023,04/15/2023,LM-Safe,04/30/2023,,EJA530E,J,B,S,4,N,0,1,2,E,L,/HAC,-,,02-01-2023,02-03-2023,MC Recd,,,,,,,JSW VIJAYANAGAR METALLICS LIMITED,200338166,,,2.01E+12,Komaleswara R,
Discrete,Aug-22,Bangalore,08/28/2022,Toh-Toh,46658,YES,JSW VIJAYANAGAR METALLICS LIMITED,FLH22M0438,2008489048,240,EJA530E-JBS4N-012EL/HAC,39,"9,54,720.00",12/30/2022,EJA530E,B,S,Std,,N,,M+T,,CREDIT,,53,N,01-02-2023,04/15/2023,LM-Safe,04/30/2023,,EJA530E,J,B,S,4,N,0,1,2,E,L,/HAC,-,,02-01-2023,02-03-2023,MC Recd,,,,,,,JSW VIJAYANAGAR METALLICS LIMITED,200338166,,,2.01E+12,Komaleswara R,
Discrete,Aug-22,Bangalore,08/28/2022,Toh-Toh,46658,YES,JSW VIJAYANAGAR METALLICS LIMITED,FLH22M0438,2008489048,250,EJA530E-JBS4N-012EL/HAC,14,"3,42,720.00",12/30/2022,EJA530E,B,S,Std,,N,,M+T,,CREDIT,,53,N,01-02-2023,04/15/2023,LM-Safe,04/30/2023,,EJA530E,J,B,S,4,N,0,1,2,E,L,/HAC,-,,02-01-2023,02-03-2023,MC Recd,,,,,,,JSW VIJAYANAGAR METALLICS LIMITED,200338166,,,2.01E+12,Komaleswara R,
Discrete,Aug-22,Bangalore,08/28/2022,Toh-Toh,46658,YES,JSW VIJAYANAGAR METALLICS LIMITED,FLH22M0438,2008489048,260,EJA530E-JBS4N-012EL/HAC,23,"5,63,040.00",12/30/2022,EJA530E,B,S,Std,,N,,M+T,,CREDIT,,53,N,01-02-2023,04/15/2023,LM-Safe,04/30/2023,,EJA530E,J,B,S,4,N,0,1,2,E,L,/HAC,-,,02-01-2023,02-03-2023,MC Recd,,,,,,,JSW VIJAYANAGAR METALLICS LIMITED,200338166,,,2.01E+12,Komaleswara R,
PPMG,Sep-22,Pune,09-12-2022,Toh-Toh,44640,YES,THERMAX BABCOCK & WILCOX ENERGY SOLUTIONS LTD,PPE2200319,2008508061,10,EJA110E-JMS5J-912EB,1,"28,005.00",09/30/2022,EJA110E,M,S,Std,,N,,M,,PDC,,40,N,,,LM-Safe,04/30/2023,,EJA110E,J,M,S,5,J,9,1,2,E,B,,-,,02-08-2023,02-10-2023,MC awtd,,,,,,,THERMAX BABCOCK & WILCOX ENERGY SOLUTIONS LTD,200295191,,,2.01E+11,Vinaya Diliprao Lokare,
PPMG,Sep-22,Pune,09-12-2022,Toh-Toh,44640,YES,THERMAX BABCOCK & WILCOX ENERGY SOLUTIONS LTD,PPE2200319,2008508061,20,EJA110E-JMS5J-912EB,1,"28,005.00",09/30/2022,EJA110E,M,S,Std,,N,,M,,PDC,,40,N,,,LM-Safe,04/30/2023,,EJA110E,J,M,S,5,J,9,1,2,E,B,,-,,02-08-2023,02-10-2023,MC awtd,,,,,,,THERMAX BABCOCK & WILCOX ENERGY SOLUTIONS LTD,200295191,,,2.01E+11,Vinaya Diliprao Lokare,
PPMG,Sep-22,Pune,09-12-2022,Toh-Toh,44640,YES,THERMAX BABCOCK & WILCOX ENERGY SOLUTIONS LTD,PPE2200319,2008508061,30,EJA110E-JMS5J-912EB,1,"28,005.00",09/30/2022,EJA110E,M,S,Std,,N,,M,,PDC,,40,N,,,LM-Safe,04/30/2023,,EJA110E,J,M,S,5,J,9,1,2,E,B,,-,,02-08-2023,02-10-2023,MC awtd,,,,,,,THERMAX BABCOCK & WILCOX ENERGY SOLUTIONS LTD,200295191,,,2.01E+11,Vinaya Diliprao Lokare,
PPMG,Sep-22,Pune,09-12-2022,Toh-Toh,44640,YES,THERMAX BABCOCK & WILCOX ENERGY SOLUTIONS LTD,PPE2200319,2008508061,40,EJA110E-JMS5J-912EB,1,"28,005.00",09/30/2022,EJA110E,M,S,Std,,N,,M,,PDC,,40,N,,,LM-Safe,04/30/2023,,EJA110E,J,M,S,5,J,9,1,2,E,B,,-,,02-08-2023,02-10-2023,MC awtd,,,,,,,THERMAX BABCOCK & WILCOX ENERGY SOLUTIONS LTD,200295191,,,2.01E+11,Vinaya Diliprao Lokare,
PPMG,Sep-22,Pune,09-12-2022,Toh-Toh,44640,YES,THERMAX BABCOCK & WILCOX ENERGY SOLUTIONS LTD,PPE2200319,2008508061,50,EJA110E-JMS5J-912EB,1,"28,005.00",09/30/2022,EJA110E,M,S,Std,,N,,M,,PDC,,40,N,,,LM-Safe,04/30/2023,,EJA110E,J,M,S,5,J,9,1,2,E,B,,-,,02-08-2023,02-10-2023,MC awtd,,,,,,,THERMAX BABCOCK & WILCOX ENERGY SOLUTIONS LTD,200295191,,,2.01E+11,Vinaya Diliprao Lokare,
PPMG,Sep-22,Pune,09-12-2022,Toh-Toh,44640,YES,THERMAX BABCOCK & WILCOX ENERGY SOLUTIONS LTD,PPE2200319,2008508061,60,EJA110E-JMS5J-912EB,1,"28,005.00",09/30/2022,EJA110E,M,S,Std,,N,,M,,PDC,,40,N,,,LM-Safe,04/30/2023,,EJA110E,J,M,S,5,J,9,1,2,E,B,,-,,02-08-2023,02-10-2023,MC awtd,,,,,,,THERMAX BABCOCK & WILCOX ENERGY SOLUTIONS LTD,200295191,,,2.01E+11,Vinaya Diliprao Lokare,
