Plant,Plant Description,Storage Location,Storage Location Description,Material Number,MS Code,Material Description,Sales Document,Sales Document Item,Linkage Number,Stock Quantity,Unit,Serial Number,Stock Amount
2Q00,YIL,2002,Line-side Transm,F9913MZ,,PLUG,,0,,107,ST,,210.84
2Q00,YIL,2002,Line-side Transm,F9913MY,,PLUG,,0,,122,ST,,89.19
2Q00,YIL,2002,Line-side Transm,F9913MD,,CLAMP ASSY,,0,,126,ST,,27.27
2Q00,YIL,2002,Line-side Transm,F9913MC,,SCREW,,0,,111,ST,,4.42
2Q00,YIL,2002,Line-side Transm,F9341JX,,SILICONE RUBBER?SE1811A/B LTV?,,0,,10,ST,,"6,293.48"
2Q00,YIL,2002,Line-side Transm,F9341JW,,WASHER,,0,,677,ST,,1.47
2Q00,YIL,2002,Line-side Transm,F9341JS,,COVER,,0,,408,ST,,2.21
2Q00,YIL,2002,Line-side Transm,F9341JP,,O-RING,,0,,405,ST,,50.13
2Q00,YIL,2002,Line-side Transm,F9341JE,,RING,,0,,100,ST,,30.96
2Q00,YIL,2002,Line-side Transm,F9340XZ,,CONNECTOR,,0,,11,ST,,648.74
2Q00,YIL,2002,Line-side Transm,F9340XX,,CONNECTOR,,0,,250,ST,,444.53
2Q00,YIL,2002,Line-side Transm,F9340XU,,CONNECTOR(KIDNEY),,0,,3,ST,,577.97
2Q00,YIL,2002,Line-side Transm,F9340WX,,CONNECTOR,,0,,16,ST,,"2,883.19"
2Q00,YIL,2002,Line-side Transm,F9340TX,,CONNECTOR,,0,,6,ST,,"3,021.05"
2Q00,YIL,2002,Line-side Transm,F9340SD,,VENT PLUG,,0,,37,ST,,128.27
2Q00,YIL,2002,Line-side Transm,F9340SB,,VENT PLUG,,0,,421,ST,,135.64
2Q00,YIL,2002,Line-side Transm,F9340NJ,,LABEL,,0,,120,ST,,5.90
2Q00,YIL,2002,Line-side Transm,F9340ND,,LABEL,,0,,68,ST,,6.63
2Q00,YIL,2002,Line-side Transm,F9340GN,,O-RING,,0,,4,ST,,39.07
2Q00,YIL,2002,Line-side Transm,F9340EM,,BRACKET,,0,,5,ST,,447.47
2Q00,YIL,2002,Line-side Transm,F9340AZ,,BOLT (SUH660),,0,,22,ST,,469.60
2Q00,YIL,2002,Line-side Transm,F9311BG,,VENT PLUG,,0,,2,ST,,"1,601.93"
2Q00,YIL,2002,Line-side Transm,F9300TE,,BRACKET,,0,,163,ST,,364.92
2Q00,YIL,2002,Line-side Transm,F9300AF,,PLATE,,0,,710,ST,,0.74
2Q00,YIL,2002,Line-side Transm,F9275ZZ,,LABEL,,0,,61,ST,,7.37
2Q00,YIL,2002,Line-side Transm,F9275EG,,NEEDLE,,0,,5,ST,,136.38
2Q00,YIL,2002,Line-side Transm,F9275ED,,VENT PLUG,,0,,7,ST,,292.67
2Q00,YIL,2002,Line-side Transm,F9273CZ,,BOLT,,0,,664,ST,,17.70
2Q00,YIL,2002,Line-side Transm,F9270HE,,VENT SCREW,,0,,47,ST,,64.14
2Q00,YIL,2002,Line-side Transm,F9270BK,,COLLAR,,0,,510,ST,,4.42
2Q00,YIL,2002,Line-side Transm,F9270BJ,,SHAFT,,0,,392,ST,,24.32
2Q00,YIL,2002,Line-side Transm,F9203ZA,,PLUG,,0,,136,ST,,1.47
