Plant,Plant Description,Storage Location,Storage Location Description,Material Number,MS Code,Material Description,Sales Document,Sales Document Item,Linkage Number,Stock Quantity,Unit,Serial Number,Stock Amount
2Q00,YIL,2002,Line-side Transm,F9913MZ,,PLUG,,0,,70,ST,,211.99
2Q00,YIL,2002,Line-side Transm,F9913MY,,PLUG,,0,,160,ST,,89.69
2Q00,YIL,2002,Line-side Transm,F9913MD,,CLAMP ASSY,,0,,126,ST,,27.42
2Q00,YIL,2002,Line-side Transm,F9900RG,,TAPPING SCREW,,0,,"3,730",ST,,0.74
2Q00,YIL,2002,Line-side Transm,F9341JX,,SILICONE RUBBER?SE1811A/B LTV?,,0,,10,ST,,"6,327.85"
2Q00,YIL,2002,Line-side Transm,F9341JW,,WASHER,,0,,887,ST,,1.48
2Q00,YIL,2002,Line-side Transm,F9341JS,,COVER,,0,,717,ST,,2.22
2Q00,YIL,2002,Line-side Transm,F9341JP,,O-RING,,0,,813,ST,,7.41
2Q00,YIL,2002,Line-side Transm,F9340XZ,,CONNECTOR,,0,,15,ST,,652.28
2Q00,YIL,2002,Line-side Transm,F9340XX,,CONNECTOR,,0,,183,ST,,446.95
2Q00,YIL,2002,Line-side Transm,F9340XU,,CONNECTOR(KIDNEY),,0,,3,ST,,581.12
2Q00,YIL,2002,Line-side Transm,F9340WX,,CONNECTOR,,0,,18,ST,,"2,898.93"
2Q00,YIL,2002,Line-side Transm,F9340TX,,CONNECTOR,,0,,6,ST,,"3,037.55"
2Q00,YIL,2002,Line-side Transm,F9340SD,,VENT PLUG,,0,,45,ST,,128.97
2Q00,YIL,2002,Line-side Transm,F9340SB,,VENT PLUG,,0,,398,ST,,136.38
2Q00,YIL,2002,Line-side Transm,F9340NJ,,LABEL,,0,,147,ST,,5.93
2Q00,YIL,2002,Line-side Transm,F9340ND,,LABEL,,0,,99,ST,,6.67
2Q00,YIL,2002,Line-side Transm,F9340GN,,O-RING,,0,,1,ST,,39.28
2Q00,YIL,2002,Line-side Transm,F9340EM,,BRACKET,,0,,2,ST,,449.92
2Q00,YIL,2002,Line-side Transm,F9340AZ,,BOLT (SUH660),,0,,22,ST,,472.16
2Q00,YIL,2002,Line-side Transm,F9311BG,,VENT PLUG,,0,,2,ST,,"1,610.69"
2Q00,YIL,2002,Line-side Transm,F9300TE,,BRACKET,,0,,237,ST,,366.91
2Q00,YIL,2002,Line-side Transm,F9275ZZ,,LABEL,,0,,72,ST,,7.41
2Q00,YIL,2002,Line-side Transm,F9275EG,,NEEDLE,,0,,30,ST,,137.12
2Q00,YIL,2002,Line-side Transm,F9275EF,,NUT,,0,,23,ST,,270.55
2Q00,YIL,2002,Line-side Transm,F9275ED,,VENT PLUG,,0,,25,ST,,294.27
2Q00,YIL,2002,Line-side Transm,F9273CZ,,BOLT,,0,,"1,616",ST,,17.79
2Q00,YIL,2002,Line-side Transm,F9270HE,,VENT SCREW,,0,,35,ST,,64.48
2Q00,YIL,2002,Line-side Transm,F9270BK,,COLLAR,,0,,819,ST,,4.45
2Q00,YIL,2002,Line-side Transm,F9270BJ,,SHAFT,,0,,441,ST,,24.46
2Q00,YIL,2002,Line-side Transm,F9203ZA,,PLUG,,0,,123,ST,,1.48
2Q00,YIL,2002,Line-side Transm,D0117XL-A,,U-BOLT ASSY,,0,,367,ST,,56.33
2Q00,YIL,2002,Line-side Transm,D0114RZ,,PLUG,,0,,434,ST,,82.28
2Q00,YIL,2002,Line-side Transm,D0114RB,,GASKET,,0,,483,ST,,11.12
2Q00,YIL,2002,Line-side Transm,D0114PB,,VENT SCREW,,0,,423,ST,,49.66
2Q00,YIL,2002,Line-side Transm,A1462CC,,FEEDTHRU CAPACITOR(FTA5C2HD102PJZZ),,0,,"1,649",ST,,42.99
2Q00,YIL,2002,Line-side Transm,F9341JZ,,CLAMP ASSY,,0,,527,ST,,19.27
2Q00,YIL,2002,Line-side Transm,F9900RF,,TAG PLATE,,0,,860,ST,,13.34
2Q00,YIL,2002,Line-side Transm,F9900RE,,TAG PLATE,,0,,339,ST,,13.34
2Q00,YIL,2002,Line-side Transm,F9900MK,,LABEL,,0,,19,ST,,16.31
2Q00,YIL,2002,Line-side Transm,F9900GZ,,SCREW,,0,,"2,010",ST,,1.48
2Q00,YIL,2002,Line-side Transm,F9900GX,,PLUG,,0,,40,ST,,329.11
2Q00,YIL,2002,Line-side Transm,F9900GW,,O-RING,,0,,20,ST,,17.79
2Q00,YIL,2002,Line-side Transm,F9900GV,,O-RING,,0,,89,ST,,8.89
2Q00,YIL,2002,Line-side Transm,F9900GT,,O-RING,,0,,47,ST,,56.33
2Q00,YIL,2002,Line-side Transm,F9900GS,,O-RING,,0,,39,ST,,91.17
2Q00,YIL,2002,Line-side Transm,F9900GR,,O-RING,,0,,40,ST,,80.05
2Q00,YIL,2002,Line-side Transm,F9900GP,,PLUG,,0,,47,ST,,247.57
2Q00,YIL,2002,Line-side Transm,F9900GK,,PLUG,,0,,62,ST,,326.15
2Q00,YIL,2002,Line-side Transm,F9900GH,,O-RING,,0,,380,ST,,3.71
2Q00,YIL,2002,Line-side Transm,F9900GG,,RING,,0,,68,ST,,7.41
2Q00,YIL,2002,Line-side Transm,F9900GE,,PLATE,,0,,572,ST,,9.63
2Q00,YIL,2002,Line-side Transm,F9900GD,,PLATE,,0,,126,ST,,14.08
2Q00,YIL,2002,Line-side Transm,F9900GC,,SCREW (FOR CASE),,0,,"1,365",ST,,1.48
2Q00,YIL,2002,Line-side Transm,F9900GB,,O-RING,,0,,9,ST,,5.19
2Q00,YIL,2002,Line-side Transm,F9900EF,,GASKET,,0,,2,ST,,636.72
2Q00,YIL,2002,Line-side Transm,F9900EA,,GASKET,,0,,572,ST,,25.94
2Q00,YIL,2002,Line-side Transm,F9900BE,,NUT,,0,,12,ST,,429.17
2Q00,YIL,2002,Line-side Transm,F9900BC,,NUT,,0,,846,ST,,15.56
2Q00,YIL,2002,Line-side Transm,F9900BA,,NUT (FOR COVER FLANGE),,0,,556,ST,,21.49
2Q00,YIL,2002,Line-side Transm,F9900AU,,"BOLT (FOR PROCESS CONNECTOR, ASTM-B7M)",,0,,640,ST,,69.67
2Q00,YIL,2002,Line-side Transm,F9900AS,,BOLT,,0,,491,ST,,111.92
2Q00,YIL,2002,Line-side Transm,F9900AE,,BOLT,,0,,4,ST,,454.37
2Q00,YIL,2002,Line-side Transm,F9900AC,,BOLT,,0,,681,ST,,62.26
2Q00,YIL,2002,Line-side Transm,F9900AA,,BOLT (FOR COVER FLANGE),,0,,316,ST,,51.14
2Q00,YIL,2002,Line-side Transm,F9342YC,,FILTER,,0,,209,ST,,143.05
2Q00,YIL,2002,Line-side Transm,F9342YB,,FEEDTHROUGH CAP,,0,,469,ST,,82.28
2Q00,YIL,2002,Line-side Transm,F9342NJ,,CABLE ASSY,,0,,529,ST,,22.24
