Discrete,Entry Month,Sales Office,DATE OF CREATION (mm/dd/yyyy),Order Category,INDENT / ORD PRO. ID,SAP Entry ,CUSTOMER,SO NO (FAK),YGSP SO NO,SO item No.,MODEL CODE,QTY,SO BASIC VALUE,CDD (mm/dd/yyyy),BASE MODEL,CAP. MOD,WET. Part,CAP. CATG,B/O O R,SEAL Reqt.,SEAL Vendor,M+TT,TRADING FOB,PAYMENT TYPE,INSPN,CDD WEEK,LD Clause,MC DATE (mm/dd/yyyy),Matl Req DATE (mm/dd/yyyy),.,Billing Month,Part. del. Accept,BASE,Protocol,CAP. Mod,Wet. Part,P-Connect,C-Bolt,Install.,Amp-Hous.,Ele.,IND,Mount,OPTIONS,Tokuchu,"LM Tokuchu 
(Yes / No) ",Parts Avail. Date  (mm/dd/yyyy),LM Readiness Date,MFG Status,"SCH. Date
(mm/dd/yyyy)",FG date   (mm/dd/yyyy),FG Material Status,DESP Date,DESP Month,Remarks,END USER,END USER CODE,Seal Rediness Date,Seal MC Remarks,Consolidate,RON / PL,TOKUCHU No.,Nov-21,OPD,PPMG Plan,,
PPMG,Mar-20,Bangalore,3/31/2020,BL,23923,YES,MITSUBISHI HITACHI POWER SYSTEMS INDIA PVT LTD,PLB2M00083-1,2006556768,,EJA110E-FMS4J-912DB/HAC/D4,10, -   ,10/31/2020,EJA110E,M,S,Std,,N,-,M+T,10/16/2020,CREDIT,YES,44,Y,,,,1/31/2022,,EJA110E,F,M,S,4,J,9,1,2,D,B,/HAC/D4,-,,8/2/2021,8/4/2021,MC awtd,,,,,,,MITSUBISHI HITACHI POWER SYSTEMS INDIA PVT LTD,200301183,,,Oct-20,Hari Shankar K,,12/31/2021,Dec-21,1/1/2022,1/1/2022,
PPMG,Mar-20,Bangalore,3/31/2020,BL,23923,YES,MITSUBISHI HITACHI POWER SYSTEMS INDIA PVT LTD,PLB2M00083-1,2006556768,,EJA110E-FMSWJ-912DB/D4,1, -   ,10/31/2020,EJA110E,M,S,Std,,N,-,M+T,10/16/2020,CREDIT,YES,44,Y,,,,1/31/2022,,EJA110E,F,M,S,W,J,9,1,2,D,B,/D4,-,,8/2/2021,8/4/2021,MC awtd,,,,,,,MITSUBISHI HITACHI POWER SYSTEMS INDIA PVT LTD,200301183,,,Oct-20,Hari Shankar K,,12/31/2021,Dec-21,1/1/2022,1/1/2022,
PPMG,Mar-20,Bangalore,3/31/2020,BL,23923,YES,MITSUBISHI HITACHI POWER SYSTEMS INDIA PVT LTD,PLB2M00083-1,2006556768,,EJA110E-FVS4J-912DB/D4,3, -   ,10/31/2020,EJA110E,V,S,Std,,N,-,M+T,10/16/2020,CREDIT,YES,44,Y,,,,1/31/2022,,EJA110E,F,V,S,4,J,9,1,2,D,B,/D4,-,,8/2/2021,8/4/2021,MC awtd,,,,,,,MITSUBISHI HITACHI POWER SYSTEMS INDIA PVT LTD,200301183,,,Oct-20,Hari Shankar K,,12/31/2021,Dec-21,1/1/2022,1/1/2022,
PPMG,Mar-20,Bangalore,3/31/2020,BL,23923,YES,MITSUBISHI HITACHI POWER SYSTEMS INDIA PVT LTD,PLB2M00083-1,2006556768,,EJA110E-JMS4J-912DB/D4,6, -   ,10/31/2020,EJA110E,M,S,Std,,N,-,M+T,10/16/2020,CREDIT,YES,44,Y,,,,1/31/2022,,EJA110E,J,M,S,4,J,9,1,2,D,B,/D4,-,,8/2/2021,8/4/2021,MC awtd,,,,,,,MITSUBISHI HITACHI POWER SYSTEMS INDIA PVT LTD,200301183,,,Oct-20,Hari Shankar K,,12/31/2021,Dec-21,1/1/2022,1/1/2022,
PPMG,Mar-20,Bangalore,3/31/2020,BL,23923,YES,MITSUBISHI HITACHI POWER SYSTEMS INDIA PVT LTD,PLB2M00083-1,2006556768,,EJA430E-FAS4J-912DB/D4,69, -   ,10/31/2020,EJA430E,A,S,Std,,N,-,M+T,10/16/2020,CREDIT,YES,44,Y,,,,1/31/2022,,EJA430E,F,A,S,4,J,9,1,2,D,B,/D4,-,,8/2/2021,8/4/2021,MC awtd,,,,,,,MITSUBISHI HITACHI POWER SYSTEMS INDIA PVT LTD,200301183,,,Oct-20,Hari Shankar K,,12/31/2021,Dec-21,1/1/2022,1/1/2022,
PPMG,Mar-20,Bangalore,3/31/2020,BL,23923,YES,MITSUBISHI HITACHI POWER SYSTEMS INDIA PVT LTD,PLB2M00083-1,2006556768,,EJA430E-FASWJ-912DB/D4,36, -   ,10/31/2020,EJA430E,A,S,Std,,N,-,M+T,10/16/2020,CREDIT,YES,44,Y,,,,1/31/2022,,EJA430E,F,A,S,W,J,9,1,2,D,B,/D4,-,,8/2/2021,8/4/2021,MC awtd,,,,,,,MITSUBISHI HITACHI POWER SYSTEMS INDIA PVT LTD,200301183,,,Oct-20,Hari Shankar K,,12/31/2021,Dec-21,1/1/2022,1/1/2022,
PPMG,Mar-20,Bangalore,3/31/2020,BL,23923,YES,MITSUBISHI HITACHI POWER SYSTEMS INDIA PVT LTD,PLB20M0083-2,2006558242,,EJA110E-FHS4J-912DB/D4,1, -   ,10/31/2021,EJA110E,H,S,Std,,N,-,M+T,---,CREDIT,YES,44,Y,,,,1/31/2022,,EJA110E,F,H,S,4,J,9,1,2,D,B,/D4,-,,8/2/2021,8/4/2021,MC awtd,,,,,,,NTPC LIMITED,200257665,,,Oct-20,Hari Shankar K,,12/31/2021,Dec-21,1/1/2022,1/1/2022,
PPMG,Mar-20,Bangalore,3/31/2020,BL,23923,YES,MITSUBISHI HITACHI POWER SYSTEMS INDIA PVT LTD,PLB20M0083-2,2006558242,,EJA110E-FHS4J-912DN/D4,8, -   ,10/31/2021,EJA110E,H,S,Std,,N,-,M+T,---,CREDIT,YES,44,Y,,,,1/31/2022,,EJA110E,F,H,S,4,J,9,1,2,D,N,/D4,-,,8/2/2021,8/4/2021,MC awtd,,,,,,,NTPC LIMITED,200257665,,,Oct-20,Hari Shankar K,,12/31/2021,Dec-21,1/1/2022,1/1/2022,
PPMG,Mar-20,Bangalore,3/31/2020,BL,23923,YES,MITSUBISHI HITACHI POWER SYSTEMS INDIA PVT LTD,PLB20M0083-2,2006558242,,EJA110E-FMS4J-912DB/D4,38, -   ,10/31/2021,EJA110E,M,S,Std,,N,-,M+T,---,CREDIT,YES,44,Y,,,,1/31/2022,,EJA110E,F,M,S,4,J,9,1,2,D,B,/D4,-,,8/2/2021,8/4/2021,MC awtd,,,,,,,NTPC LIMITED,200257665,,,Oct-20,Hari Shankar K,,12/31/2021,Dec-21,1/1/2022,1/1/2022,
PPMG,Mar-20,Bangalore,3/31/2020,BL,23923,YES,MITSUBISHI HITACHI POWER SYSTEMS INDIA PVT LTD,PLB20M0083-2,2006558242,,EJA110E-FMS4J-912DB/HAC/D4,12, -   ,10/31/2021,EJA110E,M,S,Std,,N,-,M+T,---,CREDIT,YES,44,Y,,,,1/31/2022,,EJA110E,F,M,S,4,J,9,1,2,D,B,/HAC/D4,-,,8/2/2021,8/4/2021,MC awtd,,,,,,,NTPC LIMITED,200257665,,,Oct-20,Hari Shankar K,,12/31/2021,Dec-21,1/1/2022,1/1/2022,
