PART NO.,PART NAME,QTY,SC,MODEL CODE,OUTPUT,SPAN,MATERIAL,P-CONNECT,BOLT-NUT,INSTALL,HOUSING,E-CONNECT,INDICATOR,BRACKET,OPTION:AND,OPTION:OR,OPTION:NOT,
F9920BE,AMP ASSY,1,,,D,,,,,,,,,,,,,"CS1,CU1,FS1,FU1,GS11,GS21,GU11,GU21,JS4,KS21,KU22,NS21,PS21,SU21,US1"
F9920BG,AMP ASSY,1,,,D,,,,,,,,,,,,"CS1,CU1,FS1,FU1,GS11,GS21,GU11,GU21,JS4,KS21,KU22,NS21,PS21,SU21,US1",
F9920BN,AMP ASSY,1,,,J,,,,,,,,,,,"CS1,CU1,FS1,FU1,GS11,GS21,GU11,GU21,JS4,KS21,KU22,NS21,PS21,SU21,US1",,
F9920BQ,AMP ASSY,1,,,J,,,,,,,,,,,,"CS1,CU1,FS1,FU1,GS11,GS21,GU11,GU21,JS4,KS21,KU22,NS21,PS21,SU21,US1",
F9921AH,AMP ASSY,1,,,F,,,,,,,,,,,,,"GS16,NS25"
F9921AE,AMP ASSY,1,,,G,,,,,,,,,,,,,
F9920BX,AMP ASSY,1,,,Q,,,,,,,,,,,,,
F9920TK,TERMINAL ASSY,1,,,"-D,-J",,,,,,,,,,,"JS4,NS21,PS21,US1","A,CS1,CU1,FS1,FU1,GS11,GS21,GU11,GU21,J12,KS21,KU22,SU21",
F9920TS,TERMINAL ASSY,1,,,"-D,-J",,,,,,,,,,,"CS1,CU1,FS1,FU1,GS11,GU11,KS21,KU22,SU21","A,GS21,GU21,J12,JS4,NS21,PS21,US1",
F9920TT,TERMINAL ASSY,1,,,"-D,-J",,,,,,,,,,,"GS21,GU21","A,CS1,CU1,FS1,FU1,GS11,GU11,J12,JS4,KS21,KU22,NS21,PS21,SU21,US1",
F9920TX,TERMINAL ASSY,1,,,Q,,,,,,,,,,,,A,
F9920TL,TERMINAL ASSY,1,,,"-D,-J",,,,,,,,,,J12,,"A,CS1,CU1,FS1,FU1,GS11,GS21,GU11,GU21,JS4,NS21,PS21,SU21,US1",
