AND,,OR,,S/W Options
X2,,FF1,,HAC
PR,,FS1,,HG
HE,,FU1,,D1
HC,,KF22,,D3
A,,KS21,,D4
J12,,KU22,,C1
"A,J12",,SF2,,C2
P1,,SU21,,C3
P2,,FS15,,CA
P7,,KN26,,CB
"HE,P1",,KS26,,CC
"HE,P2",,SS26,,CD
"HE,P7",,K1,,EE
"HE,PR",,K2,,PE3
"HE,X2",,K5,,M01
N4,,N4,,M11
,,K6,,M15
,,,,T12
,,,,T13
,,,,T11
,,,,T01
,,,,T05
,,,,T06
,,,,T07
,,,,T08
,,,,T15
,,,,JH01
,,,,JH03
,,,,JH04
