PART NO.,PART NAME,QTY,SC,MODEL CODE,OUTPUT,SPAN,MATERIAL,P-CONNECT,HOUSING,E-CONNECT,INDICATOR,BRACKET,OPTION:AND,OPTION:OR,OPTION:NOT
F9913QU,CASE,1,1,,,,,,1,"2,7,C",,,,,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1,GF11,GF21,GS11,GS16,GS21,GU11,GU21,KF22,KS21,KS26,KU22,NF2,NF21,NS21,NS25,PF22,PS21,SF2,SS26,SU21,UF1,US1,X2"
F9913QW,CASE,1,1,,,,,,1,"4,9,D",,,,,X2
F9913QV,CASE,1,1,,,,,,1,"2,7,C",,,,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1,KF22,KS21,KS26,KU22,PF22,PS21,SF2,UF1,US1",X2
F9913QV,CASE,1,1,,,,,,1,"2,7,C",,,,"GF11,GF21,GS11,GS16,GS21,GU11,GU21,NF2,NF21,NS21,NS25,SS26,SU21",X2
F9913RA,CASE,1,1,,,,,,1,0,,,X2,,
F9913RC,CASE,1,1,,,,,,1,"5,A",,,X2,,
F9913RG,CASE,1,1,,,,,,1,"2,7,C",,,X2,,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1,GF11,GF21,GS11,GS16,GS21,GU11,GU21,KF22,KS21,KS26,KU22,NF2,NF21,NS21,NS25,PF22,PS21,SF2,SS26,SU21,UF1,US1"
F9913RJ,CASE,1,1,,,,,,1,"4,9,D",,,X2,,
F9913RH,CASE,1,1,,,,,,1,"2,7,C",,,X2,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1,KF22,KS21,KS26,KU22,PF22,PS21,SF2,UF1,US1",
F9913RH,CASE,1,1,,,,,,1,"2,7,C",,,X2,"GF11,GF21,GS11,GS16,GS21,GU11,GU21,NF2,NF21,NS21,NS25,SS26,SU21",
F9913WC,CASE,1,,"EJA510E,EJA530E",,,,,2,A,,,,,
F9913WG,CASE,1,,"EJA510E,EJA530E",,,,,2,"2,C",,,,,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1,GF11,GF21,GS11,GS16,GS21,GU11,GU21,KF22,KS21,KS26,KU22,NF2,NF21,NS21,NS25,PF22,PS21,SF2,SS26,SU21,UF1,US1"
F9913WJ,CASE,1,,"EJA510E,EJA530E",,,,,2,"4,D",,,,,
F9913WH,CASE,1,,"EJA510E,EJA530E",,,,,2,"2,C",,,,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1,KF22,KS21,KS26,KU22,PF22,PS21,SF2,UF1,US1",
F9913WH,CASE,1,,"EJA510E,EJA530E",,,,,2,"2,C",,,,"GF11,GF21,GS11,GS16,GS21,GU11,GU21,NF2,NF21,NS21,NS25,SS26,SU21",
F9913AW,CASE,1,1,"EJA510E,EJA530E",,,,,3,"4,9,D",,,,,X2
F9913AY,CASE,1,1,"EJA510E,EJA530E",,,,,3,"2,7,C",,,,,X2
F9913BW,CASE,1,1,"EJA510E,EJA530E",,,,,3,"4,9,D",,,X2,,
F9913BY,CASE,1,1,"EJA510E,EJA530E",,,,,3,"2,7,C",,,X2,,
F9913QA,CASE,1,2,,,,,,1,0,,,,,X2
F9913QC,CASE,1,2,,,,,,1,"5,A",,,,,X2
F9913QG,CASE,1,2,,,,,,1,"2,7,C",,,,,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1,GF11,GF21,GS11,GS16,GS21,GU11,GU21,KF22,KS21,KS26,KU22,NF2,NF21,NS21,NS25,PF22,PS21,SF2,SS26,SU21,UF1,US1,X2"
F9913QJ,CASE,1,2,,,,,,1,"4,9,D",,,,,X2
F9913QH,CASE,1,2,,,,,,1,"2,7,C",,,,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1,KF22,KS21,KS26,KU22,PF22,PS21,SF2,UF1,US1",X2
F9913QH,CASE,1,2,,,,,,1,"2,7,C",,,,"GF11,GF21,GS11,GS16,GS21,GU11,GU21,NF2,NF21,NS21,NS25,SS26,SU21",X2
F9913RN,CASE,1,2,,,,,,1,0,,,X2,,
F9913RQ,CASE,1,2,,,,,,1,"5,A",,,X2,,
F9913RU,CASE,1,2,,,,,,1,"2,7,C",,,X2,,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1,GF11,GF21,GS11,GS16,GS21,GU11,GU21,KF22,KS21,KS26,KU22,NF2,NF21,NS21,NS25,PF22,PS21,SF2,SS26,SU21,UF1,US1"
F9913RW,CASE,1,2,,,,,,1,"4,9,D",,,X2,,
